code,area name,category,value,average salary,index
E12000001,North East,Healthy People Domain,85.2,25095.2,1
E12000001,North East,Difficulties in daily life [Pe],86.4,25095.2,2
E12000001,North East,Disability [Pe1],79.4,25095.2,3
E12000001,North East,Frailty [Pe1],98.4,25095.2,4
E12000001,North East,Mental health [Pe],85.4,25095.2,5
E12000001,North East,"Children's social, emotional and mental health [Pe2]",88.6,25095.2,6
E12000001,North East,Mental health conditions [Pe2],90.5,25095.2,7
E12000001,North East,Self-harm [Pe2],90,25095.2,8
E12000001,North East,Suicides [Pe2],89.3,25095.2,9
E12000001,North East,Mortality [Pe],90.1,25095.2,10
E12000001,North East,Avoidable mortality [Pe3],89,25095.2,11
E12000001,North East,Infant mortality [Pe3],102.3,25095.2,12
E12000001,North East,Life expectancy [Pe3],88,25095.2,13
E12000001,North East,Mortality from all causes [Pe3],89.8,25095.2,14
E12000001,North East,Personal well-being [Pe],92,25095.2,15
E12000001,North East,Activities in life are worthwhile [Pe4],92.5,25095.2,16
E12000001,North East,Feelings of anxiety [Pe4],92.7,25095.2,17
E12000001,North East,Happiness [Pe4],94.6,25095.2,18
E12000001,North East,Life satisfaction [Pe4],92.8,25095.2,19
E12000001,North East,Physical health conditions [Pe],96.1,25095.2,20
E12000001,North East,Cancer [Pe5],101.2,25095.2,21
E12000001,North East,Cardiovascular conditions [Pe5],97.1,25095.2,22
E12000001,North East,Dementia [Pe5],98.7,25095.2,23
E12000001,North East,Diabetes [Pe5],96.9,25095.2,24
E12000001,North East,Kidney and liver disease [Pe5],96.9,25095.2,25
E12000001,North East,Musculoskeletal conditions [Pe5],95.8,25095.2,26
E12000001,North East,Respiratory conditions [Pe5],94.3,25095.2,27
E12000001,North East,Healthy Lives Domain,94.2,25095.2,28
E12000001,North East,Behavioural risk factors [L],93.4,25095.2,29
E12000001,North East,Alcohol misuse [L1],87.2,25095.2,30
E12000001,North East,Drug misuse [L1],96.6,25095.2,31
E12000001,North East,Healthy eating [L1],94.2,25095.2,32
E12000001,North East,Physical activity [L1],94.5,25095.2,33
E12000001,North East,Sedentary behaviour [L1],91.8,25095.2,34
E12000001,North East,Sexually transmitted infections [L1],102.3,25095.2,35
E12000001,North East,Smoking [L1],106.1,25095.2,36
E12000001,North East,Children and young people [L],99.1,25095.2,37
E12000001,North East,Early years development [L2],111.7,25095.2,38
E12000001,North East,Pupil absences [L2],100.6,25095.2,39
E12000001,North East,Pupil attainment [L2],103.4,25095.2,40
E12000001,North East,Teenage pregnancy [L2],102.5,25095.2,41
E12000001,North East,"Young people in education, employment and apprenticeships [L2]",89.1,25095.2,42
E12000001,North East,Physiological risk factors [L],84.1,25095.2,43
E12000001,North East,High blood pressure [L3],100.2,25095.2,44
E12000001,North East,Low birth weight [L3],99.9,25095.2,45
E12000001,North East,Overweight and obesity in adults [L3],85.3,25095.2,46
E12000001,North East,Overweight and obesity in children [L3],83.7,25095.2,47
E12000001,North East,Protective measures [L],104.8,25095.2,48
E12000001,North East,Cancer screening attendance [L4],99,25095.2,49
E12000001,North East,Child vaccination coverage [L4],109.6,25095.2,50
E12000001,North East,Healthy Places Domain,104.9,25095.2,51
E12000001,North East,Access to green space [Pl],109.3,25095.2,52
E12000001,North East,Private outdoor space [Pl1],109.3,25095.2,53
E12000001,North East,Access to services [Pl],99.1,25095.2,54
E12000001,North East,Distance to GP services [Pl2],97.9,25095.2,55
E12000001,North East,Distance to pharmacies [Pl2],98,25095.2,56
E12000001,North East,Distance to sports or leisure facilities [Pl2],100.2,25095.2,57
E12000001,North East,Internet access [Pl2],103.9,25095.2,58
E12000001,North East,Patients offered acceptable GP practice appointments [Pl2],97.4,25095.2,59
E12000001,North East,Crime [Pl],94.2,25095.2,60
E12000001,North East,Low-level crime [Pl3],101.1,25095.2,61
E12000001,North East,Personal crime [Pl3],88,25095.2,62
E12000001,North East,Economic and working conditions [Pl],93,25095.2,63
E12000001,North East,Child poverty [Pl4],92.7,25095.2,64
E12000001,North East,Job-related training [Pl4],97.1,25095.2,65
E12000001,North East,Unemployment [Pl4],94,25095.2,66
E12000001,North East,Workplace safety [Pl4],102.8,25095.2,67
E12000001,North East,Living conditions [Pl],116.3,25095.2,68
E12000001,North East,Air pollution [Pl5],123.5,25095.2,69
E12000001,North East,Household overcrowding [Pl5],129.7,25095.2,70
E12000001,North East,Noise complaints [Pl5],95.7,25095.2,71
